nombre;precio
Quinoa Real blanca y roja para microondas ecológica Carrefour Bio pack de 2 unidades de 125 g.;1.7
Salsa de soja tradicional restaurant Style Tiger Khan Gold sin gluten 150 ml.;2.45
Mayonesa original Heinz 480 ml.;3.25
Cúrcuma Carmencita sin gluten 48 g.;2.09
Aceite de oliva 0,4º Ybarra 1 l.;5.59
Canela en rama Carmencita 5 ud.;3.55
Pasta espirales de maíz y arroz Classic Carrefour No gluten sin gluten 500 g.;2.05
Hélices vegetales Gallo sin gluten y sin lactosa 450 g.;2.39
Alubia blanca riñón categoría extra De Nuestra Tierra 1 kg.;4.39
Vinagre balsámico de módena Borges 250 ml.;2.45
Pimentón dulce Carmencita sin gluten 75 g.;4.25
Pasta macarrones penne rigate integral Barilla 500 g.;2.15
Harina de arroz Carrefour sin gluten 500 g.;1.31
Levadura de panadería Maizena sin gluten 27,5 g.;1.99
Pasta mafalda corta Garofalo 500 g.;1.81
Pasta plumas rayadas Gallo 450 g.;1.44
Harina especial amasar pizza Original Carreofur 1 kg.;1.69
Molinillo sal rosa del himalaya Carrefour Selección 100 g.;2.25
Colorante alimentario La Sirena sin gluten 60 g.;1.41
Preparado panificable Extra Carrefour No Gluten sin gluten y sin lactosa 850 g.;2.15
Pasta espaguetis Barilla sin gluten 400 g.;2.99
Salsa cheddar para dipear Ybarra sin gluten bote 300 ml.;2.49
Tortellini de queso Gallo 500 g.;3.35
Penne rigate Carrefour 500 g.;1.37
Kétchup original Prima sin gluten envase 540 g.;3.09
Lenteja pardina Don Pedro 1 kg.;3.85
Perejil ultracongelado Carrefour 50 g.;1.25
Sofrito casero de tomate y cebolla Gallina Blanca sin gluten 325 g.;2.45
Vinagre de manzana Ybarra 500 ml.;2.55
Spaghetti vegetales pasta fina Gallo 400 g.;2.09
Pimentón picante de La Vera De Nuestra Tierra 70 g.;2.69
Extracto de coco Goya 400 g.;4.29
Pasta macarrones penne rigate Barilla sin gluten 400 g.;2.99
Pimentón dulce De La Vera 250 g.;3.55
Soja texturizada Carrefour 250 g.;2.25
Pimentón picante Carmencita sin gluten 47 g.;2.09
Cúrcuma ecológica Carrefour Bio 30 g.;2.35
